rank,name,domain
492,Nash-Finch,nashfinch.com
493,Leggett & Platt,leggett.com
494,Universal American,universalamerican.com
495,Broadcom,broadcom.com
496,Brightpoint,brightpoint.com
497,Consol Energy,consolenergy.com
498,Big Lots,biglots.com
499,Dollar Tree,dollartree.com
500,Legg Mason,leggmason.com
501,USG,usg.com
502,Genzyme,genzyme.com
503,Robert Half International,rhi.com
504,Neiman Marcus,neimanmarcus.com
505,Lennar,lennar.com
506,Core-Mark Holding,core-mark.com
507,Lexmark International,lexmark.com
508,Chiquita Brands International,chiquita.com
509,Amerigroup,amerigroup.com
510,Laboratory Corp. of America,labcorp.com
511,Health Management Associates,hma.com
512,Stanley Works,stanleyblackanddecker.com
513,Flowserve,flowserve.com
514,Washington Post,washingtonpost.com
515,Wisconsin Energy,wisconsinenergy.com
516,Casey's General Stores,caseys.com
517,Allergan,allergan.com
518,Levi Strauss,levistrauss.com
519,Las Vegas Sands,lasvegassands.com
520,St. Jude Medical,sjm.com
521,NewPage Holding,newpagecorp.com
522,Energizer Holdings,energizerholdings.com
523,Fidelity National Financial,fnf.com
524,Live Nation,livenation.com
525,Mutual of Omaha Insurance,mutualofomaha.com
526,Level 3 Communications,level3.com
527,American Financial Group,afginc.com
528,Wyndham Worldwide,wyndhamworldwide.com
529,CA,ca.com
530,NII Holdings,nii.com
531,Seaboard,seaboardcorp.com
532,Hanesbrands,hanesbrands.com
533,Brinker International,brinker.com
534,RadioShack,radioshack.com
535,M&T Bank Corp.,mtb.com
536,Nalco Holding,nalco.com
537,Conseco,conseco.com
538,Kindred Healthcare,kindredhealthcare.com
539,Alliant Techsystems,atk.com
540,Adams Resources & Energy,adamsresources.com
541,Dick's Sporting Goods,dickssportinggoods.com
542,Sonoco Products,sonoco.com
543,Zimmer Holdings,zimmer.com
544,Harman International Industries,harman.com
545,Unified Grocers,unifiedgrocers.com
546,Biogen Idec,biogenidec.com
547,Graphic Packaging Holding,graphicpkg.com
548,OGE Energy,oge.com
549,Liz Claiborne,lizclaiborne.com
550,Marshall & Ilsley Corp.,micorp.com
551,Pacific Life,pacificlife.com
552,Hasbro,hasbro.com
553,Airgas,airgas.com
554,CommScope,commscope.com
555,Ruddick,ruddickcorp.com
556,H&R Block,hrblock.com
557,Harsco,harsco.com
558,Susser Holdings,susser.com
559,Comerica,comerica.com
560,Corn Products International,ingredion.com
561,Cintas,cintas.com
562,Discovery Communications,corporate.discovery.com
563,CF Industries Holdings,cfindustries.com
564,Noble Energy,nobleenergyinc.com
565,Solutia,solutia.com
566,Temple-Inland,templeinland.com
567,Trinity Industries,trin.net
568,Jones Financial,edwardjones.com
569,Forest Laboratories,frx.com
570,Cincinnati Financial,cinfin.com
571,Michaels Stores,michaels.com
572,New Jersey Resources,njresources.com
573,Simon Property Group,simon.com
574,Quanta Services,quantaservices.com
575,Bemis,bemis.com
576,Greif,greif.com
577,Nicor,nicor.com
578,Constellation Brands,cbrands.com
579,VWR Funding,investors.vwr.com
580,Stater Bros. Holdings,staterbros.com
581,ABM Industries,abm.com
582,Del Monte Foods,delmonte.com
583,J.B. Hunt Transport Services,jbhunt.com
584,NVR,nvrinc.com
585,Exide Technologies,exide.com
586,Westlake Chemical,westlake.com
587,Republic Services,republicservices.com
588,Alliant Energy,alliantenergy.com
589,Nacco Industries,nacco.com
590,Electronic Arts,ea.com
591,Alaska Air Group,alaskaair.com
592,Vulcan Materials,vulcanmaterials.com
593,Nasdaq OMX Group,nasdaqomx.com
594,RPM International,rpminc.com
595,Schnitzer Steel Industries,schnitzersteel.com
596,Cytec Industries,cytec.com
597,Hospira,hospira.com
598,Jones Apparel Group,jonesgroupinc.com
599,Cliffs Natural Resources,cliffsnaturalresources.com
600,Brink's,brinks.com
601,Adobe Systems,adobe.com
